dataset,method,metric,score
sce_umap_MammaryGlandVirgin,fastmnn,cell_type_entropy,0.185
sce_umap_MammaryGlandVirgin,harmony,batch_entropy,0.877
sce_umap_MammaryGlandVirgin,harmony,cell_type_entropy,0.228
sce_umap_MammaryGlandVirgin,limma,batch_entropy,0.774
sce_umap_MammaryGlandVirgin,limma,cell_type_entropy,0.194
sce_umap_MammaryGlandVirgin,logcounts,batch_entropy,0.437
sce_umap_MammaryGlandVirgin,logcounts,cell_type_entropy,0.202
sce_umap_MammaryGlandVirgin,mnncorrect,batch_entropy,0.587
sce_umap_MammaryGlandVirgin,mnncorrect,cell_type_entropy,0.218
sce_umap_MammaryGlandVirgin,scanorama,batch_entropy,0.71
sce_umap_MammaryGlandVirgin,scanorama,cell_type_entropy,0.18
sce_umap_MammaryGlandVirgin,seurat3,batch_entropy,0.825
sce_umap_MammaryGlandVirgin,seurat3,cell_type_entropy,0.211
sce_umap_MesenchymalStemCells,combat,batch_entropy,0.098
sce_umap_MesenchymalStemCells,combat,cell_type_entropy,0.24
sce_umap_MesenchymalStemCells,fastmnn,batch_entropy,0.282
sce_umap_MesenchymalStemCells,fastmnn,cell_type_entropy,0.285
sce_umap_MesenchymalStemCells,harmony,batch_entropy,0.541
sce_umap_MesenchymalStemCells,harmony,cell_type_entropy,0.384
sce_umap_MesenchymalStemCells,limma,batch_entropy,0.101
sce_umap_MesenchymalStemCells,limma,cell_type_entropy,0.231
sce_umap_MesenchymalStemCells,logcounts,batch_entropy,0
sce_umap_MesenchymalStemCells,logcounts,cell_type_entropy,0.211
sce_umap_MesenchymalStemCells,mnncorrect,batch_entropy,0.004
sce_umap_MesenchymalStemCells,mnncorrect,cell_type_entropy,0.215
sce_umap_MesenchymalStemCells,scanorama,batch_entropy,0.415
sce_umap_MesenchymalStemCells,scanorama,cell_type_entropy,0.371
sce_umap_MesenchymalStemCells,seurat3,batch_entropy,0.574
sce_umap_MesenchymalStemCells,seurat3,cell_type_entropy,0.68
sce_umap_NeonatalCalvaria,combat,batch_entropy,0.566
sce_umap_NeonatalCalvaria,combat,cell_type_entropy,0.227
sce_umap_NeonatalCalvaria,fastmnn,batch_entropy,0.633
sce_umap_NeonatalCalvaria,fastmnn,cell_type_entropy,0.21
sce_umap_NeonatalCalvaria,harmony,batch_entropy,0.911
sce_umap_NeonatalCalvaria,harmony,cell_type_entropy,0.228
