dataset,method,metric,score
sce_umap_Liver,fastmnn,cell_type_entropy,0.241
sce_umap_Liver,harmony,batch_entropy,0.161
sce_umap_Liver,harmony,cell_type_entropy,0.224
sce_umap_Liver,limma,batch_entropy,0.039
sce_umap_Liver,limma,cell_type_entropy,0.19
sce_umap_Liver,logcounts,batch_entropy,0.02
sce_umap_Liver,logcounts,cell_type_entropy,0.186
sce_umap_Liver,mnncorrect,batch_entropy,0.125
sce_umap_Liver,mnncorrect,cell_type_entropy,0.187
sce_umap_Liver,scanorama,batch_entropy,0.19
sce_umap_Liver,scanorama,cell_type_entropy,0.188
sce_umap_Liver,seurat3,batch_entropy,0.544
sce_umap_Liver,seurat3,cell_type_entropy,0.307
sce_umap_Lung,combat,batch_entropy,0.771
sce_umap_Lung,combat,cell_type_entropy,0.089
sce_umap_Lung,fastmnn,batch_entropy,0.827
sce_umap_Lung,fastmnn,cell_type_entropy,0.085
sce_umap_Lung,harmony,batch_entropy,0.892
sce_umap_Lung,harmony,cell_type_entropy,0.104
sce_umap_Lung,limma,batch_entropy,0.748
sce_umap_Lung,limma,cell_type_entropy,0.088
sce_umap_Lung,logcounts,batch_entropy,0.427
sce_umap_Lung,logcounts,cell_type_entropy,0.095
sce_umap_Lung,mnncorrect,batch_entropy,0.598
sce_umap_Lung,mnncorrect,cell_type_entropy,0.097
sce_umap_Lung,scanorama,batch_entropy,0.788
sce_umap_Lung,scanorama,cell_type_entropy,0.078
sce_umap_Lung,seurat3,batch_entropy,0.797
sce_umap_Lung,seurat3,cell_type_entropy,0.073
sce_umap_MammaryGlandInvolution,combat,batch_entropy,0.794
sce_umap_MammaryGlandInvolution,combat,cell_type_entropy,0.09
sce_umap_MammaryGlandInvolution,fastmnn,batch_entropy,0.819
sce_umap_MammaryGlandInvolution,fastmnn,cell_type_entropy,0.087
sce_umap_MammaryGlandInvolution,harmony,batch_entropy,0.809
sce_umap_MammaryGlandInvolution,harmony,cell_type_entropy,0.101
sce_umap_MammaryGlandInvolution,limma,batch_entropy,0.759
sce_umap_MammaryGlandInvolution,limma,cell_type_entropy,0.09
sce_umap_MammaryGlandInvolution,logcounts,batch_entropy,0.752
sce_umap_MammaryGlandInvolution,logcounts,cell_type_entropy,0.089
sce_umap_MammaryGlandInvolution,mnncorrect,batch_entropy,0.846
sce_umap_MammaryGlandInvolution,mnncorrect,cell_type_entropy,0.087
sce_umap_MammaryGlandInvolution,scanorama,batch_entropy,0.794
sce_umap_MammaryGlandInvolution,scanorama,cell_type_entropy,0.083
sce_umap_MammaryGlandInvolution,seurat3,batch_entropy,0.917
sce_umap_MammaryGlandInvolution,seurat3,cell_type_entropy,0.109
sce_umap_MammaryGlandVirgin,combat,batch_entropy,0.787
sce_umap_MammaryGlandVirgin,combat,cell_type_entropy,0.198
sce_umap_MammaryGlandVirgin,fastmnn,batch_entropy,0.83
