method_id,dataset_id,metric_id,score
sepal,tenx_visium/visium/mouse_embryo,correlation,0.6947
sepal,tenx_visium/visium/mouse_kidney_v1,correlation,0.1852
sepal,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.1638
sepal,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.3046
sepal,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,0.3864
sepal,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.3774
sepal,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.3623
sepal,zenodo_spatial/dbitseq/mouse_e11_2,correlation,0.3967
sepal,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,0.6445
sepal,zenodo_spatial/merfish/human_cortex_1,correlation,0.0549
sepal,zenodo_spatial/merfish/human_cortex_2,correlation,0.0919
sepal,zenodo_spatial/merfish/human_cortex_3,correlation,0.0037
sepal,zenodo_spatial/merfish/human_cortex_4,correlation,0.0147
sepal,zenodo_spatial/merfish/mouse_cortex,correlation,0.4125
sepal,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.4465
sepal,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.0644
sepal,zenodo_spatial/slideseqv2/mouse_cortex,correlation,0.6081
sepal,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.4683
sepal,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.0863
sepal,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.0476
sepal,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,-0.6028
sepal,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,-0.6864
sepal,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,
sepal,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,
sepal,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,
sepal,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,
sepal,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,
sepal,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,-0.0319
sepal,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.0374
sepal,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.2002
sepal,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,0.0051
sepal,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.4777
sepal,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.0971
somde,tenx_visium/post_xenium/human_colon_cancer,correlation,0.6855
somde,tenx_visium/post_xenium/mouse_brain,correlation,0.7762
somde,tenx_visium/visium/human_brain_cancer,correlation,0.8861
somde,tenx_visium/visium/human_breast_cancer_1,correlation,0.6217
somde,tenx_visium/visium/human_breast_cancer_2,correlation,0.3409
somde,tenx_visium/visium/human_cerebellum,correlation,0.2777
somde,tenx_visium/visium/human_cervical_cancer,correlation,0.7584
somde,tenx_visium/visium/human_colorectal_cancer,correlation,0.8531
somde,tenx_visium/visium/human_heart,correlation,0.4289
somde,tenx_visium/visium/human_intestinal_cancer,correlation,0.7085
somde,tenx_visium/visium/human_kidney,correlation,0.3839
somde,tenx_visium/visium/human_lung_cancer,correlation,0.7202
somde,tenx_visium/visium/human_lymph_node,correlation,0.7978
somde,tenx_visium/visium/human_normal_prostate,correlation,0.6158
somde,tenx_visium/visium/human_prostate_cancer,correlation,0.6698
somde,tenx_visium/visium/human_skin_melanoma,correlation,0.6021
somde,tenx_visium/visium/mouse_brain_coronal,correlation,0.5256
somde,tenx_visium/visium/mouse_embryo,correlation,0.4211
somde,tenx_visium/visium/mouse_kidney_v1,correlation,0.5508
somde,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.3815
somde,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.4461
somde,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,0.5769
somde,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.2517
somde,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.4425
somde,zenodo_spatial/dbitseq/mouse_e11_2,correlation,0.5928
somde,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,0.6236
somde,zenodo_spatial/merfish/human_cortex_1,correlation,0.4564
somde,zenodo_spatial/merfish/human_cortex_2,correlation,0.2794
somde,zenodo_spatial/merfish/human_cortex_3,correlation,0.5081
somde,zenodo_spatial/merfish/human_cortex_4,correlation,0.5114
somde,zenodo_spatial/merfish/mouse_cortex,correlation,0.7204
somde,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.7425
somde,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.8695
somde,zenodo_spatial/slideseqv2/mouse_cortex,correlation,
somde,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.8686
somde,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.7333
somde,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.7857
somde,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,0.6684
somde,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,0.7134
somde,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,
somde,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,
somde,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,
somde,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,
somde,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,
somde,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,0.3653
somde,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.6825
somde,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.2734
somde,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,0.0817
