source,tissue,dataset,type,cell_type,method,score
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Claude-3.7,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),DeepSeek-R1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Doubao-1.6,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Gemini-2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Gemini-2.5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),GPT-4o,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Grok-3,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),Kimi-k2,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),CellMarker2.0,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),ScType,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,B cell (Centrocyte),SingleR,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Claude-3.7,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Claude-4.1,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,DeepSeek-R1,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Doubao-1.6,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Gemini-2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Gemini-2.5,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,GPT-4o,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,GPT-5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Grok-3,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Grok-4,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,Kimi-k2,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,CellMarker2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,ScType,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Conventional dendritic cell,SingleR,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Claude-3.7,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Claude-4.1,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,DeepSeek-R1,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Doubao-1.6,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Gemini-2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Gemini-2.5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,GPT-4o,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,GPT-5,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Grok-3,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Grok-4,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,Kimi-k2,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,CellMarker2.0,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,ScType,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,Erythroid cell,SingleR,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Claude-3.7,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Claude-4.1,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,DeepSeek-R1,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Doubao-1.6,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Gemini-2.0,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Gemini-2.5,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,GPT-4o,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,GPT-5,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Grok-3,1
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Grok-4,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,Kimi-k2,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,CellMarker2.0,0
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,ScType,0.5
HCL,CordBlood,HCL_CordBlood,Broad Cell type,HSPC,SingleR,0.5
