dataset,scenario,method,metric,score
bct,randomly_missing_30,ItClust,lisi_f1,0.639683
bct,randomly_missing_30,ItClust,pos_rate,0.968853
bct,randomly_missing_30,ItClust,truepos_rate,0.71359
bct,randomly_missing_30,STACAS,ARI_cluster/label,0.989644
bct,randomly_missing_30,STACAS,ASW_label,0.684959
bct,randomly_missing_30,STACAS,ASW_label/batch,0.875109
bct,randomly_missing_30,STACAS,NMI_cluster/label,0.975805
bct,randomly_missing_30,STACAS,graph_conn,1
bct,randomly_missing_30,STACAS,isolated_label_F1,0.996027
bct,randomly_missing_30,STACAS,isolated_label_silhouette,0.674905
bct,randomly_missing_30,STACAS,kBET,0.0264118
bct,randomly_missing_30,STACAS,lisi_b,0.0931712
bct,randomly_missing_30,STACAS,lisi_c,0.996846
bct,randomly_missing_30,STACAS,lisi_f1,0.170414
bct,randomly_missing_30,STACAS,pos_rate,0.996694
bct,randomly_missing_30,STACAS,truepos_rate,0.0365408
bct,randomly_missing_30,scANVI,ARI_cluster/label,0.982941
bct,randomly_missing_30,scANVI,ASW_label,0.586992
bct,randomly_missing_30,scANVI,ASW_label/batch,0.954959
bct,randomly_missing_30,scANVI,NMI_cluster/label,0.963111
bct,randomly_missing_30,scANVI,graph_conn,1
bct,randomly_missing_30,scANVI,isolated_label_F1,0.992625
bct,randomly_missing_30,scANVI,isolated_label_silhouette,0.590418
bct,randomly_missing_30,scANVI,kBET,0.223599
bct,randomly_missing_30,scANVI,lisi_b,0.316505
bct,randomly_missing_30,scANVI,lisi_c,0.990537
bct,randomly_missing_30,scANVI,lisi_f1,0.479724
bct,randomly_missing_30,scANVI,pos_rate,0.995302
bct,randomly_missing_30,scANVI,truepos_rate,0.348182
bct,randomly_missing_30,scDREAMER,ARI_cluster/label,0.702433
bct,randomly_missing_30,scDREAMER,ASW_label,0.743407
bct,randomly_missing_30,scDREAMER,ASW_label/batch,0.941859
bct,randomly_missing_30,scDREAMER,NMI_cluster/label,0.8004
bct,randomly_missing_30,scDREAMER,graph_conn,0.999776
bct,randomly_missing_30,scDREAMER,isolated_label_F1,0.877667
bct,randomly_missing_30,scDREAMER,isolated_label_silhouette,0.738049
bct,randomly_missing_30,scDREAMER,kBET,0.390181
bct,randomly_missing_30,scDREAMER,lisi_b,0.363749
bct,randomly_missing_30,scDREAMER,lisi_c,0.995919
bct,randomly_missing_30,scDREAMER,lisi_f1,0.532872
bct,randomly_missing_30,scDREAMER,pos_rate,0.996868
bct,randomly_missing_30,scDREAMER,truepos_rate,0.578389
bct,randomly_missing_30,scGEN,ARI_cluster/label,0.981043
bct,randomly_missing_30,scGEN,ASW_label,0.645202
bct,randomly_missing_30,scGEN,ASW_label/batch,0.903402
bct,randomly_missing_30,scGEN,NMI_cluster/label,0.961522
bct,randomly_missing_30,scGEN,graph_conn,0.999119
bct,randomly_missing_30,scGEN,isolated_label_F1,0.993482
bct,randomly_missing_30,scGEN,isolated_label_silhouette,0.636735
bct,randomly_missing_30,scGEN,kBET,0.19912
bct,randomly_missing_30,scGEN,lisi_b,0.231816
bct,randomly_missing_30,scGEN,lisi_c,0.992281
bct,randomly_missing_30,scGEN,lisi_f1,0.375831
bct,randomly_missing_30,scGEN,pos_rate,0.993736
bct,randomly_missing_30,scGEN,truepos_rate,0.301723
bct,randomly_missing_50,ItClust,ARI_cluster/label,0.375277
bct,randomly_missing_50,ItClust,ASW_label,0.618435
bct,randomly_missing_50,ItClust,ASW_label/batch,0.916753
bct,randomly_missing_50,ItClust,NMI_cluster/label,0.501843
bct,randomly_missing_50,ItClust,graph_conn,0.837616
bct,randomly_missing_50,ItClust,isolated_label_F1,0.681622
bct,randomly_missing_50,ItClust,isolated_label_silhouette,0.619311
bct,randomly_missing_50,ItClust,kBET,0.651732
