method_id,dataset_id,metric_id,score
bbknn,cellxgene_census/hypomap,asw_batch,
bbknn,cellxgene_census/hypomap,asw_label,
bbknn,cellxgene_census/hypomap,cell_cycle_conservation,
bbknn,cellxgene_census/hypomap,clisi,1
bbknn,cellxgene_census/hypomap,graph_connectivity,0.8943
bbknn,cellxgene_census/hypomap,hvg_overlap,
bbknn,cellxgene_census/hypomap,ilisi,0.182
bbknn,cellxgene_census/hypomap,isolated_label_asw,
bbknn,cellxgene_census/hypomap,isolated_label_f1,0.0034
bbknn,cellxgene_census/hypomap,kbet,
bbknn,cellxgene_census/hypomap,nmi,0.8152
bbknn,cellxgene_census/hypomap,pcr,
bbknn,cellxgene_census/immune_cell_atlas,ari,0.6115
bbknn,cellxgene_census/immune_cell_atlas,asw_batch,
bbknn,cellxgene_census/immune_cell_atlas,asw_label,
bbknn,cellxgene_census/immune_cell_atlas,cell_cycle_conservation,
bbknn,cellxgene_census/immune_cell_atlas,clisi,0.9529
bbknn,cellxgene_census/immune_cell_atlas,graph_connectivity,0.9879
bbknn,cellxgene_census/immune_cell_atlas,hvg_overlap,
bbknn,cellxgene_census/immune_cell_atlas,ilisi,0.3142
bbknn,cellxgene_census/immune_cell_atlas,isolated_label_asw,
bbknn,cellxgene_census/immune_cell_atlas,isolated_label_f1,0.005
bbknn,cellxgene_census/immune_cell_atlas,kbet,
bbknn,cellxgene_census/immune_cell_atlas,nmi,0.7427
bbknn,cellxgene_census/immune_cell_atlas,pcr,
bbknn,cellxgene_census/mouse_pancreas_atlas,ari,0.7124
bbknn,cellxgene_census/mouse_pancreas_atlas,asw_batch,
bbknn,cellxgene_census/mouse_pancreas_atlas,asw_label,
bbknn,cellxgene_census/mouse_pancreas_atlas,cell_cycle_conservation,
bbknn,cellxgene_census/mouse_pancreas_atlas,clisi,0.8328
bbknn,cellxgene_census/mouse_pancreas_atlas,graph_connectivity,0.9981
bbknn,cellxgene_census/mouse_pancreas_atlas,hvg_overlap,
bbknn,cellxgene_census/mouse_pancreas_atlas,ilisi,0.1819
bbknn,cellxgene_census/mouse_pancreas_atlas,isolated_label_asw,
